time_h,mem_h
0,0
343,16
344,1316
345,3916
346,3916
346,2616
346,7816
346,7816
346,5216
346,15616
346,15616
346,10416
346,31216
346,31216
346,20816
346,62416
346,62416
346,41616
346,124816
346,124816
346,83216
347,249616
347,249616
347,166416
347,499216
347,499216
347,332816
349,998416
349,998416
349,665616
353,1996816
353,1996816
353,1331216
360,3993616
361,3993616
361,2662416
377,7987216
378,7987216
378,5324816
413,15974416
414,15974416
414,10649616
487,15974416
489,5324816
507,7987216
508,2662416
517,3993616
517,1331216
521,1996816
521,665616
523,998416
523,332816
524,499216
524,166416
524,249616
524,83216
524,124816
524,41616
524,62416
524,20816
524,31216
524,10416
524,15616
524,5216
524,7816
524,2616
524,3916
524,1316
524,1836
524,536
524,796
524,276
524,16
525,0
